Claim,Claim Count,Issues
against University of North Carolina Chapel Hill chancellor Lee Roberts' stated intention to cooperate with ICE in detention and deportation of undocumented migrants on campus; against anti-immigrant policies; for abolishing ICE,0,Immigration
against President Trump; against Project 2025; against Elon Musk's involvement in the US government,0,Musk/DOGE
against President Trump; against Project 2025; against ICE deportations; for immigrant rights,0,Immigration
against President Trump; against Project 2025; against fascism,0,Musk/DOGE
against President Trump; against Project 2025; for democracy,0,Trump
for federal funding for the Blatnik Bridge; against President Trump; against Project 2025,0,Musk/DOGE
against President Trump; against immigration; against ICE raids,0,Immigration
against President Trump; against fascism; against ICE raids and immigrant deportations; against transphobia and homophobia; against sexism; against ableism,0,"Immigration, LGBTplus"
against ICE raids and immigrant deportations; against President Trump; against fascism,0,Immigration
against President Trump's immigration policies; for protections for immigrants; against immigrant deportations,0,Immigration
against visit to White House by Israeli prime minister Benjamin Netanyahu; against President Trump's support for Israel; against genocide in Gaza; for ending U.S. aid to Israel; for accountability for Israel's war crimes in Gaza; for Palestinian liberation,0,Gaza
against Allianz Global's investment in Elbit Systems; against genocide in Gaza; for Palestinian liberation,0,Gaza
for more city funding for public schools; for safe and stable schools; for closing educator wage gap; for racial justice and equity in public education,0,"Racial Justice, Workers"
against appointments to the Board of Trustees by Florida Governor Ron DeSantis,0,
in honor of Rosa Parks; against racism; against immigrant deportations,0,Racial Justice
against state senator Jessica de la Cruz's support for President Trump's immigrant deportations; against ICE,0,Immigration
"against Israel's attacks in the West Bank, against genocide in Gaza; for Palestinian liberation~",0,Gaza
against Sugar Land city government's support for Israel; against Islamophobia; against genocide in Gaza; for Palestinian liberation,0,Gaza
against visit to White House by Israeli prime minister Benjamin Netanyahu; against President Trump's support for Israel; against genocide in Gaza; for Palestinian liberation,0,Gaza
against President Trump's abuse of executive power; against Elon Musk; for democracy; against corruption,0,Musk/DOGE
against all wars; for Palestinian liberation,0,Gaza
against the 90 day limit at San Francisco homeless shelters; for affordable housing options; for legislation that support homeless families; for assistance for immigrant families living in homeless shelter; for ensuring San Francisco remains a sanctuary city,0,Immigration
against President Trump; against Project 2025; for LGBTQ+ rights; for reproductive rights,0,"Abortion, LGBTplus"
against President Trump; for freedom of speech; for racial equality; for women's rights; for LGBTQ+ rights; for public health and safety; against gun violence; for climate action; for wealth equality,0,"Abortion, Environment, Gun Control, LGBTplus"
against President Trump and the MAGA agenda; against mass deportations of immigrants; for LGBT rights; for women's rights,0,"Abortion, Immigration, LGBTplus, Musk/DOGE"
against President Trump's restictions on federal funding; against President Trump's restrictions on diversity equity and inclusion policies; against grant censorship misinformation and privatization in research,0,Trump
against President Trump's abuse of executive power; for democracy,0,Trump
against President Trump; against Elon Musk,0,Musk/DOGE
against Project 2025; against President Trump; against fascism; for immigrants' rights; for LGBTQ+ rights; against racism; for public education,0,"LGBTplus, Racial Justice"
against President Trump; against Project 2025; for immigrants' rights; against immigrant deportations,0,Immigration
against President Trump; against fascism; for democracy,0,Trump
against President Trump; for democracy; against fascism; against Project 2025; against Elon Musk,0,Musk/DOGE
against Israel's violations of ceasefire deal; against Israel's attacks in West Bank; for divesting Johns Hopkins University from Israel; for Palestinian liberation,0,Gaza
against President Trump; against racism; for immigrants' rights; for LGBTQ+ rights; for women's rights,0,"Abortion, LGBTplus, Racial Justice"
against Donald Trump; against immigrant deportation; for immigrants' rights,0,"Immigration, Musk/DOGE"
for the protection of birthright citizenship in Maryland; against President Trump; against ICE raids; against ICE deportations; for immigrant rights,0,Immigration
against President Trump; against Project 2025; for democracy; against Elon Musk,0,Musk/DOGE
against regent Jonathan Sures' opposition to divesting University of California from Israel; for academic boycott of Israel; for abolishing all policing on University of California Los Angeles campus; for Palestinian liberation,0,Gaza
against President Trump; against Project 2025; against fascism; for democracy,0,Trump
against UCLA Olympic Analytical Lab not providing wage increases that were promised to staff research associates; for fair pay for staff research associates; against wage theft; against unfair labor practices,0,Workers
against Project 2025; against President Trump; against fascism; against ICE raids and immigrant deportations; against transphobia and homophobia; against ableism; against sexism,0,"Immigration, LGBTplus, Musk/DOGE"
against Project 2025; against President Trump; against fascism; against ICE raids and immigrant deportations; against transphobia and homophobia; for DEI,0,"Immigration, LGBTplus"
for evicting Crye Precision and Easy Aerial from spaces at Brooklyn Navy Yard; against genocide in Gaza; for Palestinian liberation,0,Gaza
